nama_bersih,kalori_per_100g,protein_g,lemak_g,karbo_g
telur penyu,144.0,12.0,10.2,0.0
telur terubuk,425.0,31.0,28.0,10.0
tempe bongkrek,119.0,4.4,3.5,18.3
tempe gembus,73.0,5.7,1.3,4.2
tempe gembus yogya,76.0,6.8,0.7,10.6
tempe kacang babi,139.0,12.5,0.8,21.9
tempe kacang belimbing,212.0,17.5,10.0,12.9
tempe kedelai + jagung,143.0,12.0,5.5,11.4
tempe kedelai murni goreng,350.0,24.5,26.6,10.4
tempe kedelai murni mentah,201.0,20.8,8.8,13.5
tempe koro benguk,141.0,10.2,1.3,23.2
tempe lamtoro var. gung dengan kulit,146.0,11.7,2.3,19.6
tempe lamtoro var. gung tanpa kulit,131.0,18.0,0.8,13.0
tempe pasar segar,150.0,14.0,7.7,9.1
tempe pasar goreng,336.0,20.0,28.0,7.8
tempoya,110.0,1.7,1.3,21.9
tempuyak,126.0,1.1,2.2,25.7
tepung arrowroot,355.0,0.7,0.2,85.2
tepung beras,364.0,7.0,0.5,80.0
tepung beras mentah,353.0,7.0,0.5,80.0
tepung ganyong,353.0,0.8,1.7,83.6
tepung gaplek,363.0,1.1,0.5,88.2
tepung hunkwee,364.0,4.5,1.0,83.5
tepung ikan,316.0,60.1,6.5,22.4
tepung jagung kuning,355.0,9.2,3.9,73.7
tepung jagung putih,355.0,9.2,3.9,73.7
tepung jalejo,388.0,19.0,7.5,61.2
tepung kacang kedelai,347.0,35.9,20.6,29.9
tepung kentang,347.0,0.3,0.1,85.6
tepung mocaf,350.0,1.2,0.6,85.0
tepung pisang,338.0,2.9,0.4,80.6
tepung sagu,353.0,0.7,0.2,84.7
tepung sente,326.0,4.0,0.4,76.7
tepung singkong/ tapioka,363.0,1.1,0.5,88.2
tepung sukun,353.0,2.9,0.5,84.4
tepung susu,509.0,24.6,30.0,36.2
tepung susu asam untuk bayi,418.0,19.0,9.0,65.5
tepung susu skim,362.0,35.6,1.0,52.0
tepung tales beneng,332.0,5.7,0.6,76.1
tepung terigu,365.0,8.9,1.3,77.3
tepung ubi ungu,354.0,2.8,0.6,84.4
terasi,155.0,22.3,2.9,9.9
terasi dobo,191.0,33.1,3.6,6.6
terasi merah,174.0,30.0,3.5,3.5
teri balado masakan,365.0,23.7,22.3,17.5
teripang dendeng mentah,462.0,39.1,32.4,3.5
terong,24.0,1.1,0.2,5.5
terong + oncom makanan,285.0,4.3,25.7,9.5
terong asam,39.0,2.3,1.9,2.0
terong belanda,48.0,1.5,0.3,11.3
terong hintalo segar,45.0,1.9,0.8,7.5
terong kukus,23.0,1.8,0.1,4.9
terong segar,28.0,1.1,0.2,5.5
terung belanda segar,52.0,2.1,1.1,8.6
terung bengkulu segar,52.0,1.1,0.4,11.2
terung panjang,25.0,2.1,0.1,5.3
terung panjang kukus,23.0,1.8,0.1,4.9
tespong daun,59.0,2.9,0.3,13.9
tim (nasi tim),120.0,2.4,0.4,26.0
tinira ninahu nggaluku,33.0,1.2,1.3,4.1
tinoransak masakan,516.0,17.7,49.5,0.0
tipa-tipa,355.0,6.2,1.2,79.8
tiwul instan,395.0,3.2,8.5,76.5
toge -tahu makanan,392.0,5.4,28.5,28.4
toge kacang ijo,23.0,2.9,0.2,4.1
toge kacang tunggak,35.0,5.0,0.2,5.8
toge kedelai,67.0,9.0,2.6,6.4
toge seduh,28.0,3.0,0.8,4.0
tomat air (juice) segar,20.0,1.0,0.2,3.5
tomat masak,20.0,1.0,0.3,4.2
tomat merah segar,24.0,1.3,0.5,4.7
tomat muda segar,24.0,2.0,0.7,3.3
tumis bandeng,189.0,11.3,15.7,0.6
tumis bayam bersantan,48.0,1.4,4.2,2.6
ubi cilembu,186.0,1.9,0.2,44.3
ubi jalar kuning kukus,100.0,0.7,0.3,23.8
ubi jalar kuning segar,119.0,0.5,0.4,25.1
ubi jalar manis segar,83.0,1.5,0.2,18.8
ubi jalar merah,123.0,1.8,0.7,27.9
ubi jalar merah segar,151.0,1.6,0.3,35.4
ubi jalar putih,123.0,1.8,0.7,27.9
ubi jalar rebus,114.0,1.4,9.6,25.6
ubi jalar sayur,184.0,1.4,0.3,22.5
ubi jalar tinta/ kemayung,108.0,0.5,0.4,25.6
ubi jalar tinta/ kemayung kukus,165.0,0.9,0.2,39.8
uceng/ bunga melinjo segar,82.0,5.8,1.3,11.7
udang besar segar,56.0,11.4,0.6,1.2
udang kering,295.0,62.4,2.3,1.8
udang kering mentah,278.0,62.6,4.1,2.2
udang papay mentah,273.0,47.8,3.8,12.5
udang segar,91.0,21.0,0.2,0.1
ulat sagu segar,241.0,5.8,21.6,5.8
umbi uwi segar,120.0,2.8,0.5,82.3
umbut rotan,34.0,2.4,0.3,5.5
usus sapi,130.0,14.0,7.2,1.5
uwi,101.0,2.0,0.2,19.8
vermicelli,363.0,8.7,0.4,78.7
wajit camilan,303.0,6.3,2.7,63.3
waluh balamak,45.0,0.8,0.9,8.1
widaran,424.0,1.3,10.7,80.7
wijen,568.0,19.3,51.1,18.1
wingko babat,355.0,3.2,15.1,51.4
woku ubi,143.0,3.1,7.8,15.0
worst (sosis daging),452.0,14.5,42.3,2.3
wortel segar,42.0,1.2,0.6,9.3
wortel kukus,37.0,1.0,0.6,8.3
wortel rebus,28.0,0.7,0.5,6.3
yangko,254.0,3.0,1.1,58.1
yoghurt,52.0,3.3,2.5,4.0
