nama_bersih,kalori_per_100g,protein_g,lemak_g,karbo_g
es krim,210.0,4.0,12.5,20.6
fillet o-fish,270.0,12.3,15.9,19.3
gadeng/gadung kering,322.0,2.4,0.6,76.6
gado-gado,137.0,6.1,3.2,21.0
gadung kukus,88.0,0.8,0.3,20.9
gadung mentah,101.0,2.1,0.2,23.2
gadung ubi kukus,88.0,0.6,0.3,20.9
gadung ubi segar,100.0,0.9,0.3,23.5
gambas (oyong),18.0,0.8,0.2,4.1
gandaria,68.0,0.7,0.1,18.0
ganyong kukus,100.0,0.8,0.2,23.8
ganyong mentah,95.0,1.0,0.1,22.6
ganyong rebus,100.0,0.8,0.2,23.8
ganyong segar,77.0,0.6,0.2,18.4
gaplek,338.0,1.5,0.7,81.3
gatep segar,191.0,4.5,1.5,39.7
gatot,347.0,1.3,0.7,83.8
geblek,195.0,0.4,1.7,44.4
gelatine,389.0,0.0,0.0,91.0
gembili,95.0,1.5,0.1,22.4
gembili ubi segar,131.0,1.1,0.2,31.3
gemblong,274.0,1.7,5.4,55.5
gendar goreng,407.0,6.4,28.2,32.0
genjer segar,35.0,1.7,0.2,7.7
geplak,350.0,1.4,14.4,53.6
geplak jahe,462.0,3.1,24.4,57.7
gete kuah asam masakan,75.0,8.2,2.0,6.0
getuk goreng,360.0,1.3,6.4,74.3
getuk pisang,144.0,1.1,0.4,34.1
getuk singkong,204.0,0.5,1.4,47.4
ginjal babi,114.0,16.3,4.6,0.8
ginjal domba,105.0,16.6,3.3,1.0
ginjal sapi,141.0,15.0,8.1,0.9
gudeg sayur,160.0,3.3,9.2,16.0
gula aren,368.0,0.0,0.0,95.0
gula kelapa,386.0,3.0,10.0,76.0
gula merah tebu belum dimurnikan,356.0,0.4,0.5,90.6
gula putih,394.0,0.0,0.0,94.0
gulai asam keueung masakan,52.0,10.0,0.5,1.8
gulai ikan masakan,106.0,16.5,3.3,2.5
gulai ikan paya masakan,148.0,10.0,9.8,5.0
gulai kambing,126.0,4.2,9.4,6.2
gulai keumamah masakan,110.0,5.9,8.2,3.2
gulai pakis,143.0,4.0,11.4,6.0
gulai pliek,176.0,7.3,14.9,3.2
gulai tiram masakan,132.0,9.0,7.2,7.8
gurame asem manis masakan,192.0,12.7,10.1,12.7
gurandil,218.0,0.5,2.5,48.5
ham,389.0,16.9,35.0,0.3
hangop,65.0,10.0,1.0,3.5
hati babi,134.0,19.7,4.8,1.7
hati sapi,136.0,19.7,3.2,6.0
havermout,390.0,14.2,7.4,68.2
hofa/ubi hutan segar,127.0,1.2,0.5,29.5
ikan asar merah masakan,146.0,17.7,5.9,5.6
ikan asin bilis goreng,380.0,33.6,27.5,0.0
ikan asin gabus goreng,456.0,46.5,24.4,0.0
ikan asin japuh goreng,348.0,18.7,29.5,0.0
ikan asin kering,193.0,42.0,1.5,0.0
ikan asin pari goreng,430.0,58.2,23.6,0.0
ikan asin pepetek goreng,652.0,40.4,54.3,0.0
ikan asin sirinding goreng,319.0,6.9,31.7,0.0
ikan asin teri goreng,430.0,33.4,32.4,0.0
ikan bader (tawes),198.0,19.0,13.0,0.0
ikan balong segar,107.0,16.5,3.9,1.5
ikan bambangan segar,112.0,20.0,1.3,3.7
ikan bandeng,129.0,20.0,4.8,0.0
ikan bandeng presto masakan,296.0,17.1,20.3,11.3
ikan banjar segar,111.0,19.4,0.9,4.8
ikan baronang segar,78.0,14.5,0.6,3.7
ikan baung bakar,144.0,17.8,5.8,5.2
ikan baung segar,123.0,15.1,5.5,3.3
ikan bawal,96.0,19.0,1.7,0.0
ikan bekasang,138.0,14.0,0.7,7.4
ikan belida bakar,128.0,18.0,3.0,7.2
ikan belida segar,80.0,14.7,1.4,2.2
ikan belut segar goreng,417.0,25.9,19.4,32.0
ikan belut segar mentah,82.0,6.7,1.0,10.9
ikan beunteur,66.0,14.0,0.0,0.0
ikan biawan segar,90.0,14.9,2.5,2.1
ikan bili segar,88.0,14.2,0.7,6.2
ikan bubara segar,100.0,14.7,2.4,4.9
ikan bulan-bulan segar,134.0,25.5,1.3,5.0
ikan cakalang asap mentah,204.0,34.2,5.6,1.9
ikan cakalang asin mentah,198.0,36.5,2.2,5.5
ikan cakalang hati segar,120.0,11.3,3.9,10.0
ikan cakalang jantung segar,116.0,11.2,1.2,10.2
ikan cakalang perut segar,86.0,10.2,1.1,8.7
ikan cakalang segar,107.0,19.6,0.7,5.5
ikan calo/ peda mentah,81.0,11.4,1.9,3.8
ikan daun segar,101.0,11.5,4.1,4.6
ikan ekor kuning,109.0,17.0,4.0,0.0
ikan gabus asap mentah,261.0,38.1,2.3,21.9
ikan gabus kering,292.0,58.0,4.0,0.0
ikan gabus segar,74.0,25.2,1.7,0.0
ikan gete goreng,267.0,23.1,19.4,0.2
ikan hitam segar,101.0,10.3,3.7,6.7
ikan hiu kering,298.0,46.3,3.6,20.2
ikan hiu segar,57.0,10.7,0.3,2.2
ikan kacangan segar,77.0,15.6,0.9,1.6
ikan kakap segar,92.0,20.0,0.7,0.0
ikan kakatua segar,82.0,11.4,1.2,6.4
ikan kapar segar,132.0,17.0,6.7,0.8
ikan katombo asin,162.0,31.7,2.8,0.3
ikan kawalinya segar,110.0,12.6,4.2,5.4
ikan kayu kering,302.0,70.7,1.9,0.4
ikan kembung,103.0,22.0,1.0,0.0
ikan kima segar,70.0,10.8,0.7,5.2
ikan lais bakar,147.0,17.5,6.5,5.4
ikan layang,109.0,22.0,1.7,0.0
ikan layur segar,82.0,18.0,1.0,0.4
ikan lehoma segar,90.0,20.4,0.9,0.0
ikan lele goreng,252.0,19.9,19.1,0.0
ikan lemuru,112.0,20.0,3.0,0.0
ikan lidah segar,104.0,15.6,3.2,2.0
ikan lomak asin mentah,258.0,40.3,2.3,18.9
ikan malalugis segar,99.0,20.6,1.4,0.9
ikan mas,86.0,16.0,2.0,0.0
ikan mas goreng,188.0,19.3,12.2,0.0
ikan mas pepes,209.0,15.2,11.3,11.8
ikan mayong segar,97.0,17.9,2.0,0.4
ikan mujair dendeng goreng,598.0,74.3,26.9,9.2
ikan mujair dendeng mentah,582.0,68.3,15.2,37.2
ikan mujair goreng,416.0,46.9,23.9,0.0
ikan mujair pepes,121.0,21.7,2.8,0.8
ikan mujair segar,89.0,18.7,1.0,0.0
ikan nasu metti segar,154.0,16.8,5.0,10.5
ikan oci kembung segar,125.0,21.3,3.4,2.2
ikan papuyu bakar,152.0,17.6,6.1,6.7
ikan papuyu/ betok segar,120.0,14.3,4.9,4.6
ikan patin bakar,144.0,17.5,6.3,4.3
ikan patin segar,132.0,17.0,6.6,1.1
ikan peda banjar mentah,156.0,28.0,4.0,2.0
ikan pepetek,176.0,32.0,4.4,0.0
ikan pindang banjar mentah,157.0,28.0,4.2,1.8
ikan pindang benggol mentah,170.0,31.0,4.2,0.0
ikan pindang layang mentah,153.0,30.0,2.8,0.0
ikan pindang selar mentah,142.0,27.0,3.0,0.0
ikan sale lais mentah,415.0,61.3,17.6,2.9
ikan sale segar,534.0,40.2,39.3,4.9
ikan saluang kering mentah,284.0,34.1,9.9,14.6
ikan saluang segar,113.0,13.9,4.9,3.4
ikan sanggang masakan,240.0,21.7,7.7,20.7
ikan sarden segar,109.0,19.9,1.8,3.4
ikan segar,113.0,17.0,4.5,0.0
ikan selar kering,194.0,38.0,3.5,0.0
ikan selar kuning cue mentah,138.0,27.0,3.3,0.0
ikan selar segar,100.0,18.8,2.2,0.0
ikan sepat kering,289.0,38.0,14.0,0.0
