Title,Ingredients,Steps,Loves,URL,Category,Title Cleaned,Total Ingredients,Ingredients Cleaned,Total Steps,judul_bersih,bahan_bersih,Quality Score
Sop sosis bakso sapi sederhana,"2 buah wortel--50 gram bawang bombay--6 buah sosis sapi--2 cm jahe--1 sdm garam--2 sdt gula pasir--1/4 sdt merica bubuk--2 sdm margarin untuk menumis--1.000 ml air--2 siung bawang putih, dimemarkan--bakso sapi--","1) Cincang halus bawang bombay yang telah disiapkan.
2) Memarkan bawang putih dan iris jahe
3) Kupas dan potong wortel berbentuk bulat dengan ukuran 1/2 cm.
4) Langkah pertama yaitu tumis bawang putih, bawang bombay dan jahe hingga tercium harumnya.
5) Tambahkan air dan didihkan. Setelah mendidih masukan bakso, lalu aduk sampai merata.
6) Setelah itu, tambahkan wortel dan masak hingga layu. Tambahkan juga tomat, jamur, sosis, pala bubuk, gula pasir, garam dan merica. Aduk rata dan masak hingga semua bahan matang. Setelah itu sajikan.
7) Itulah resep dan cara membuat sayur sop/sup sosis bakso sederhana, berani dan enak. Sayur sop ini akan lebih nikmat jika disajikan dalam keadaan hangat",12,https://cookpad.com/id/resep/3380155-sop-sosis-bakso-sapi-sederhana,sapi,sop sosis bakso sapi sederhana,11,"wortel , bawang bombai , sosis sapi , jahe , garam , gula pasir , merica bubuk , margarin menumis , air , bawang putih , dimemarkan , bakso sapi",7,sop sosis bakso sapi sederhana,"2 buah wortel 50 gram bawang bombay 6 buah sosis sapi 2 cm jahe 1 sdm garam 2 sdt gula pasir 1 4 sdt merica bubuk 2 sdm margarin untuk menumis 1 000 ml air 2 siung bawang putih, dimemarkan bakso sapi",0.3829
Lobak kering tumis telur(Lopok khan chau tan),3 butir telur--2 sdm lobak kering yg sudah di cincang--3 batang daun bawang potong halus--1/4 sdt Penyedap rasa--1/4 sdt lada bubuk--2 buah cabe rawit merah potong halus--1 sdt minyak wijen--1 sdt kecap asin--secukupnya Minyak goreng--,"1) Bahan yg sdh di siapkan:
2) Siapkan wadah masukkn telur kocok lepas masukkn lada,penyedap rasa, kecap asin, minyak wijen aduk2 masukkn lobak kering,cabe dan daun bawang aduk rata, dan siap di tumis.
3) Siapkan wajan beri minyak goreng secukupnya. Masukkn adonan telur semua, sambil di aduk2 pakai soktel biar matangnya rata. Angkat dan sajikan. Selamat mencoba",12,https://cookpad.com/id/resep/3928869-lobak-kering-tumis-telurlopok-khan-chau-tan,telur,lobak kering tumis telur ( lopok khan chau tan ),9,"telur , lobak kering cincang , batang daun bawang potong halus , penyedap , lada , cabe rawit merah potong halus , minyak wijen , kecap asin , minyak goreng",3,lobak kering tumis telur lopok khan chau tan,3 butir telur 2 sdm lobak kering yg sudah di cincang 3 batang daun bawang potong halus 1 4 sdt penyedap rasa 1 4 sdt lada bubuk 2 buah cabe rawit merah potong halus 1 sdt minyak wijen 1 sdt kecap asin secukupnya minyak goreng,0.26
Bakso ayam tanpa tepung,1/4 kg ayam fillet beku--1 Sdm agar agar putih--1 siung bawang putih--1 butir telur ayam--Secukupnya garam dan merica--,"1) Blender semua bahan hingga lembut.
2) Rebus air (tidak sampai mendidih tidak apa apa)
3) Bentuk bulat bakso dengan sendok. Masukkan kedalam rebusan air hingga mengapung. Angkat.",12,https://cookpad.com/id/resep/4357070-bakso-ayam-tanpa-tepung,ayam,bakso ayam tepung,5,"ayam fillet beku , putih , bawang putih , telur ayam , garam merica",3,bakso ayam tanpa tepung,1 4 kg ayam fillet beku 1 sdm agar agar putih 1 siung bawang putih 1 butir telur ayam secukupnya garam dan merica,0.2363
Telur Dadar Sosis Gulung,"2 btr telur--2 bh sosis, goreng--1/2 sdt merica bubuk--1/2 sdt garam--Minyak goreng--Bumbu iris :--2 siung bawang merah--1 siung bawang putih--2 bh cabe merah keriting--1 btg daun bawang--","1) Campur telur, bumbu iris, merica dan garam. Aduk rata
2) Tuang tipis kocokan telur ke dalam teflon yg sdh dioles sedikit minyak goreng. Tunggu hingga permukaan telur agak kering
3) Beri sosis goreng di salah satu pinggiran telur. Gulung 3/4 nya, lalu tuang lagi kocokan telur, diamkan sampai telur agak matang, gulung kembali. Lakukan sampai kocokan telur habis. Masak dgn api kecil setiap sisinya hingga dalamnya matang
4) Angkat, diamkan hingga uap panas nya berkurang. potong2 dan sajikan. (Jika panas2 lsg dipotong, telur blm set jadi hasil potongannya akan kurang bagus)",12,https://cookpad.com/id/resep/4031926-telur-dadar-sosis-gulung,telur,telur dadar sosis gulung,10,"telur , sosis , goreng , merica bubuk , garam , minyak goreng , bumbu , bawang merah , bawang putih , cabe merah keriting , btg daun bawang",4,telur dadar sosis gulung,"2 btr telur 2 bh sosis, goreng 1 2 sdt merica bubuk 1 2 sdt garam minyak goreng bumbu iris 2 siung bawang merah 1 siung bawang putih 2 bh cabe merah keriting 1 btg daun bawang",0.3079
Semur Lidah sapi kentang dan soun,1/2 kg lidah sapi--3 biji kentang dipotong panjang--1 pack soun--4 biji bawang merah--4 biji bawang putih--secukupnya Penyedap rasa--secukupnya kecap manis--secukupnya garam--,"1) Rebus lidah sapi yg sdh dibersihkan sampai lunak, kalau saya merebus daging apa aja suka pakai sendok stainless direbus bersama daging cepat empuk
2) Potong kentang persegi panjang
3) Rendam soun pakai air dingin
4) Setelah daging empuk lalu dipotong kecil
5) Panaskan penggorengan kasih sedikit minyak goreng masukkan bawang merah,bawang putih dan goreng sampai harum
6) Masukkan daging dan kentang supaya daging tambah empuk lagi
7) Kasih sedikit air
8) Setelah agak empuk kentangnya masukkan soun dan bumbu penyedap rasa,kecap manis,garam
9) Siap disajikan",12,https://cookpad.com/id/resep/3815755-semur-lidah-sapi-kentang-dan-soun,sapi,semur lidah sapi kentang soun,8,"lidah sapi , biji kentang dipotong panjang , pack soun , biji bawang merah , biji bawang putih , penyedap , kecap manis , garam",9,semur lidah sapi kentang dan soun,1 2 kg lidah sapi 3 biji kentang dipotong panjang 1 pack soun 4 biji bawang merah 4 biji bawang putih secukupnya penyedap rasa secukupnya kecap manis secukupnya garam,0.4058
Sambel goreng hati sapi,"250 gr hati sapi, rebus lalu potong dadu--1 sachet santan instan kemasan segitiga--1 papan petai--3 siung bawang merah--3 siung bawang putih--3 btr kemiri sangrai--2 bh cabe merah besar, iris tipis--2 bh cabe rawit--5 bh cabe merah keriting--1 sdm ketumbar--1 ruas lengkuas, memarkan--1 btg serai, memarkan--2 lbr daun jeruk--1 lbr daun salam--1 tangkai daun kari (boleh skip)--Gula (boleh ditambah gula merah sedikit)--Garam--Lada bubuk--","1) Haluskan bawang putih, bawang merah, kemiri, ketumbar, cabe rawit, cabe keriting. Tumis bersama lengkuas, serai, daun salam, daun jeruk, daun kari, tumis sampai matang dan harum.
2) Masukkan cabe merah iris, aduk sampai layu, kemudian tambah air secukupnya dan santan, aduk.
3) Masukkan hati sapi yg sudah dipotong dadu, lalu aduk dan biarkan air menyusut setengahnya, kemudian masukkan petai. Bumbui dengan garam, gula dan lada.
4) Masak hingga air menyusut (kadar air disesuaikan aja sama selera masing-masing yaa, mau nyemek atau kering), koreksi rasa. Sajikan.",12,https://cookpad.com/id/resep/4042304-sambel-goreng-hati-sapi,sapi,sambel goreng hati sapi,18,"hati sapi , rebus potong dadu , santan instan kemasan segitiga , papan petai , bawang merah , bawang putih , kemiri , cabe merah , tipis , cabe rawit , cabe merah keriting , ketumbar , lengkuas , memarkan , serai , memarkan , daun jeruk , daun salam , tangkai daun kari , gula ditambah gula merah , garam , lada",4,sambel goreng hati sapi,"250 gr hati sapi, rebus lalu potong dadu 1 sachet santan instan kemasan segitiga 1 papan petai 3 siung bawang merah 3 siung bawang putih 3 btr kemiri sangrai 2 bh cabe merah besar, iris tipis 2 bh cabe rawit 5 bh cabe merah keriting 1 sdm ketumbar 1 ruas lengkuas, memarkan 1 btg serai, memarkan 2 lbr daun jeruk 1 lbr daun salam 1 tangkai daun kari boleh skip gula boleh ditambah gula merah sedikit garam lada bubuk",0.2224
Soto Sapi Boyolali,"1/2 kg daging sapi sedikit lemak, rebus hingga empuk, potong²--4 bawang merah--6 bawang putih--2 cm jahe geprek--2 cm lengkuas geprek--1 batang sereh geprek--2 daun salam--2 daun jeruk purut--1 sdt merica--Garam--Penyedap rasa (Royco sapi)--1,5 liter air kaldu sisa rebusan daging--Pelengkap :--Daun bawang--Daun seledri--Bawang goreng--Toge rebus--Tomat potong²--","1) Haluskan bawang merah, bawang putih, merica.
2) Tumis semua bumbu halus dan bahan diatas, kecuali tomat, seledri, penyedap & daun bawang.
3) Masukan air kaldu.
4) Tambahkan penyedap & garam.
5) Setelah mendidih masukkan irisan daun bawang.
6) Tata dalam mangkuk, toge rebus, daging sapi, seledri, bawang goreng.
7) Tambahkan kuah.
8) Jangan lupa pake sambel yaaaa....",12,https://cookpad.com/id/resep/3413842-soto-sapi-boyolali,sapi,soto sapi boyolali,18,"daging sapi lemak , rebus empuk , potong² , bawang merah , bawang putih , jahe , lengkuas , serai geprek , daun salam , daun jeruk , merica , garam , penyedap royco sapi , air kaldu sisa rebusan daging , pelengkap , daun bawang , daun seledri , bawang goreng , toge rebus , tomat potong²",8,soto sapi boyolali,"1 2 kg daging sapi sedikit lemak, rebus hingga empuk, potong² 4 bawang merah 6 bawang putih 2 cm jahe geprek 2 cm lengkuas geprek 1 batang sereh geprek 2 daun salam 2 daun jeruk purut 1 sdt merica garam penyedap rasa royco sapi 1,5 liter air kaldu sisa rebusan daging pelengkap daun bawang daun seledri bawang goreng toge rebus tomat potong²",0.2769
"Rendang, kuliner terenak no1 didunia","1 kg daging (sy pke daging kerbau)--5 btg serai--3 lbr daun kunyit--5 lbr daun jeruk--6 lbr daun salam--5 btr kecil asam kandis--1 bks rempah gulai (2rb/bks)--4 sdt bumbu gulai kambing--2 btr kelapa (sy 1 1/2) Santan kental dan encernya dipisahkan--4 btr kentang (kupas, cuci, belah4)--Secukupnya garam--Secukupnya Royco rasa sapi--Secukupnya minyak goreng utk menumis--Bumbu halus/giling--1 ons cabe merah--7 btr bawang merah--5 btr bawang putih--5 btr kemiri--1/2 ruas jari jahe--1 ruas jari kunyit--1 ruas jari lengkuas--","1) Siapkan daging terlebih dahulu, cuci daging, potong2 sesuai selera, tiriskan, sy potong dadu besar2, krn nanti setelah dimasak daging akan menyusut, masaknya jg agak lama krn menunggu daging bner2 masak dgn tekstur yg empuk
2) Lalu siapkan bumbu halus, sy blender semua bumbu halus, bgt jg halnya dgn daun jeruk, daun kunyit, serai, daun salam dan sebelumnya sy potong kecil2, lalu diblender, cara ini agar ketika rendang telah matang, tdk ada daun2an yg perlu kita sisihkan
3) Santannya sy gunakan santan segar utk citarasa yg mantap, perasan santan pertama dipisahkan dgn yg kedua, dst.
4) Setelah semua siap utk dieksekusi, mulai dgn menumis bumbu yg sdh dihaluskan, tumis hingga harum/bumbu setengah masak
5) Kemudian masukkan daging yg sdh di potong dan ditiriskan td, aduk2 hingga bumbu rata, jgn lupa tambahkan rempah2 yg sdh dituliskan diatas (sy beli dipasar rempah gulai yg sdh dibungkus2 plastik kecil seharga 2rbuan + rempah yg da difoto). Masukkan royco, aduk balik sesekali hingga bumbu tampak meresap, dan air yg tersisa pd daging sdh mengering. Cara ini dpt mengurangi bau khas pd daging yg dimasak, bgt jg dgn pemberian rempah gulai, serta banyak nya serai.
6) Selanjutnya masukkan santan kental perasan pertama,, kemudian aduk2 agar santan tdk bergumpal dipermukaan,gunakan api besar, setelah santan mndidih, pindah k api kecil
7) Setelah santan tampak berkurang sebagian, sy tuang perasan santan berikutnya, sprt cara sblmnya sy gunakan api besar agar cpt mendidih, setelah mendidih, sy gunakan api sedang, hal ini dpt mencegah santan cpt kering sebelum daging empuk
8) Sesekali cek keempukan daging yaa,,
9) Saya memeras santan sebanyak 3 x,, jd utk penambahan santan berikutnya sama dgn santan sebelumnya, ditambahkan setelah santan tampak berkurang sebagian, lalu masukkan kentang dan garam, aduk2, koreksi rasa hingga mantap, jgn keasinan krn akan semakin asin ketika santan sdh mengering. Biarkan hingga santan mengering, sambil diaduk hingga dasar wajan
10) Ketika air sudah kering akan terlihat minyak yg banyak, proses memasak masih terus berlanjut, terus masak daging hingga minyak menyusut dan daging empuk
11) Ketika minyak tinggal sedikit, tandanya sdh masak, beri api kecil, aduk balik daging hingga dasar wajan.
12) Kemudian angkat daging beserta bumbu, sajikan bersama nasi hangat, dan lalap. Mmmmmm sungguh nikmat Jgn lupa timun ya bagi yg mudah naik darah tinggi ny
13) Selamat mencoba moms",12,https://cookpad.com/id/resep/3394473-rendang-kuliner-terenak-no1-didunia,kambing,rendang kuliner terenak no didunia,21,"daging pke daging kerbau , serai , daun kunyit , daun jeruk , daun salam , asam kandis , rempah gulai , bumbu gulai kambing , kelapa santan kental encernya dipisahkan , kentang kupas , belah , garam , royco sapi , minyak goreng utk menumis , bumbu halus giling , cabe merah , bawang merah , bawang putih , kemiri , jahe , kunyit , lengkuas",13,"rendang, kuliner terenak no1 didunia","1 kg daging sy pke daging kerbau 5 btg serai 3 lbr daun kunyit 5 lbr daun jeruk 6 lbr daun salam 5 btr kecil asam kandis 1 bks rempah gulai 2rb bks 4 sdt bumbu gulai kambing 2 btr kelapa sy 1 1 2 santan kental dan encernya dipisahkan 4 btr kentang kupas, cuci, belah4 secukupnya garam secukupnya royco rasa sapi secukupnya minyak goreng utk menumis bumbu halus giling 1 ons cabe merah 7 btr bawang merah 5 btr bawang putih 5 btr kemiri 1 2 ruas jari jahe 1 ruas jari kunyit 1 ruas jari lengkuas",0.5263
Telur dadar gulung korea *gyeran mari,5 butir telur ayam--5 bh cabe merah kriting--1 genggam rajangan daun bawang--secukupnya merica & garam--1 sdt kecap asin--,"1) Kocok telur spt membuat telur dadar biasa, tambahkan semua bahan lainnya.
2) Ambil satu sendok sayur adonan telur tuang ke teflon dan buat dadar,setelah permukaan telur terlihat aga mengering lalu gulung,sisihkan dipinggir teflon sisakan sedikit bagian dadar, lalu tuang lagi satu sendok adonan,buat dadar lalu gulungan sebelumnya digulung bersama dadar selanjutnya. Bgtu seterusnya sampai adonan habis.kecilkan api & Masak sampai matang.
3) Potong-potong,sajikan...",12,https://cookpad.com/id/resep/3907412-telur-dadar-gulung-korea-gyeran-mari,telur,telur dadar gulung korea gyeran mari,5,"telur ayam , cabe merah kriting , genggam rajangan daun bawang , merica & garam , kecap asin",3,telur dadar gulung korea gyeran mari,5 butir telur ayam 5 bh cabe merah kriting 1 genggam rajangan daun bawang secukupnya merica garam 1 sdt kecap asin,0.2737
Tauco udang pedasss,250 gr udang--jeruk nipis--1/2 ikat kacang panjang--secukupnya garam--1 sdm tauco--700 cc santan--2 lbr daun salam--minyak utk menumis--secukupnya gula--bumbu iris:--6 siung bawang putih--8 siung bawang merah--2 biji cabe merah--15 biji hijau--1 ruas jahe--1 buah tomat--,"1) Cuci bersih udang,buang kulit dan kepala lumuri garam dan jeruk nipis.
2) Tumis bumbu iris,tambahkan daun salam,tauco,gula. tes rasa
3) Masukkan kacang panjang,udang kemudian tambahkan santan. Aduk terus sampai mendidih.,masak sampai air menyusut (sesuai selera). tes rasa, angkat.",12,https://cookpad.com/id/resep/3935837-tauco-udang-pedasss,udang,tauco udang pedasss,16,"udang , jeruk nipis , kacang panjang , garam , tauco , santan , daun salam , minyak utk menumis , gula , bumbu , bawang putih , bawang merah , biji cabe merah , biji hijau , jahe , tomat",3,tauco udang pedasss,250 gr udang jeruk nipis 1 2 ikat kacang panjang secukupnya garam 1 sdm tauco 700 cc santan 2 lbr daun salam minyak utk menumis secukupnya gula bumbu iris 6 siung bawang putih 8 siung bawang merah 2 biji cabe merah 15 biji hijau 1 ruas jahe 1 buah tomat,0.1937
Tumis kapri &udang,"300 gr udang tanpa kulit--2 genggam kapri--1/4 buah paprika merah, optional, iris besar2--1/2 buah bombay, iris besar2--1 sdm butter--1 sdm kecap asin shoyu--2 siung bawang putih, geprek &cincang--","1) Panaskan butter. Tumis bawang putih, bombay dan paprika smpai harum...
2) Tambahkan udang, kapri dan shoyu.. masak hingga udang berubah warna.
3) Tambahkan lada gula dan garam. Koreksi rasanya...",12,https://cookpad.com/id/resep/4030010-tumis-kapri-udang,udang,tumis kapri & udang,7,"udang kulit , genggam kapri , paprika merah , bombai , butter , kecap asin shoyu , bawang putih , geprek & cincang",3,tumis kapri udang,"300 gr udang tanpa kulit 2 genggam kapri 1 4 buah paprika merah, optional, iris besar2 1 2 buah bombay, iris besar2 1 sdm butter 1 sdm kecap asin shoyu 2 siung bawang putih, geprek cincang",0.2386
Tongkol suwir pete,"2 ekor ikan tongkol, panggang--2 papan pete--1 lbr daun kunyit, iris--2 lbr daun jeruk, iris--1 sdm jeruk nipis--7 siung Bawang merah--secukupnya Garam, penyedap--Bumbu halus:--10 biji cabe merah--20 biji cabe rawit--3 siung bawang putih--1/2 buah tomat--","1) Panggang ikan tongkol, setelah matang di suwir, sisihkan
2) Kerok kulit pete, di potong serong, goreng setengah matang.
3) Tumis irisan bawang merah hingga harum, masukkan bumbu halus beserta irisan daun kubyit dan daun jeruk.
4) Aduk terus, ketika hampir matang cabe nya, siram jeruk nipis, bubuhkan garam dan penyedap. aduk kembali
5) Kecilkan api, masukkan suwiran ikan dan pete, aduk.
6) Sajikan",12,https://cookpad.com/id/resep/4013487-tongkol-suwir-pete,ikan,tongkol suwir pete,12,"ikan tongkol , panggang , papan pete , daun kunyit , daun jeruk , jeruk nipis , bawang merah , garam , penyedap , bumbu halus , biji cabe merah , biji cabe rawit , bawang putih , tomat",6,tongkol suwir pete,"2 ekor ikan tongkol, panggang 2 papan pete 1 lbr daun kunyit, iris 2 lbr daun jeruk, iris 1 sdm jeruk nipis 7 siung bawang merah secukupnya garam, penyedap bumbu halus 10 biji cabe merah 20 biji cabe rawit 3 siung bawang putih 1 2 buah tomat",0.325
Fried chicken crispy,1 kg ayam--Bumbu ayam :--3 butir kemiri--3 siung bawang putih--1/2 sdt ketumbar--1 sdt merica--secukupnya Garam--Bumbu tepung :--2 butir telur--1 sdt lada bubuk--1 sdm penyedap (aku pakai Royco ayam)--125 gram tepung bumbu (aku pakai Sasa)--25 gram tepung maizena--,"1) Haluskan semua bumbu ayam lalu balurkan ke ayam (diungkep), diamkan selama 1 jam (supaya bumbu meresap)
2) Kocok telur, masukkan penyedap dan lada bubuk
3) Siapkan tepung bumbu di dalam wadah
4) Masukkan ayam yg sudah diungkep ke dalam telur, lalu ke dalam tepung bumbu
5) Goreng ayam dengan minyak panas (seluruh bagian ayam harus tercelup ke dalam minyak)
6) Fried chicken atau ayam goreng krispi, gurih dan lezat siap dihidangkan",12,https://cookpad.com/id/resep/4333683-fried-chicken-crispy,ayam,fried chicken crispy,13,"ayam , bumbu ayam , kemiri , bawang putih , ketumbar , merica , garam , bumbu tepung , telur , lada , penyedap royco ayam , tepung bumbu sasa , tepung maizena",6,fried chicken crispy,1 kg ayam bumbu ayam 3 butir kemiri 3 siung bawang putih 1 2 sdt ketumbar 1 sdt merica secukupnya garam bumbu tepung 2 butir telur 1 sdt lada bubuk 1 sdm penyedap aku pakai royco ayam 125 gram tepung bumbu aku pakai sasa 25 gram tepung maizena,0.3153
Sop ayam ceker wortel brokoli,"1/4 ekor ayam, potong2 sesuai selera--8 buah ceker ayam--1 buah wortel uk sedang, potong kotak--1 kuntum brokoli--1 batang daun bawang, potong 1 cm--1 batang seledri, potong 1 cm--1 ruas jari jahe, geprek--1 siung bawang putih uk besar (sy pake 3 krna kecil)--1 sachet bumbu sop selero padang--Secukupnya garam, gula dan penyedap rasa ayam--1 liter Air kurang lebih--","1) Cuci bersih semua bahan, sisihkan.
2) Rebus ayam dan ceker sampai 1/2 matang, buang air rebusannya, tiriskan.
3) Haluskan bumbu : bawang putih + bumbu sop selero padang kecuali kayu manis, bunga lawang dan kapulaga. Sisihkan.
4) Siapkan wajan beri minyak sedikit, tumis bumbu halus hingga harum. Beri air kira2 300 ml tunggu mendidih masukkan jahe geprek dan kayu manis, bunga lawang dan kapulaga serta ayam + ceker yg sdh direbus, biarkan sampai mendidih, angkat, dan sisihkan.
5) Rebus air kurang lebih 700 ml tunggu mendidih baru dimasukkan tumisan bumbu+rempah+ayam, aduk sebentar setelah mendidih lagi masukkan wortel, tunggu wortel matang.
6) Jika wortel sudah matang baru brokoli, daun bawang dan seledri dimasukkan, aduk sebentar lalu bumbui garam, gula dan penyedap rasa ayam sesuai selera biarkan sampai sayuran matang, aduk sesekali, tes rasa jika sudah pas matikan kompor.
7) Angkat dan sajikan, jika suka bisa dikasih bawang goreng diatasnya, klo saya suka yg tanpa bawang goreng, sesuai selera saja.",12,https://cookpad.com/id/resep/4333771-sop-ayam-ceker-wortel-brokoli,ayam,sop ayam ceker wortel brokoli,11,"ayam , potong , ceker ayam , wortel , potong kotak , kuntum brokoli , batang daun bawang , potong , batang seledri , potong , jahe , geprek , bawang putih pake krna , bumbu sop selero padang , garam , gula penyedap ayam , air",7,sop ayam ceker wortel brokoli,"1 4 ekor ayam, potong2 sesuai selera 8 buah ceker ayam 1 buah wortel uk sedang, potong kotak 1 kuntum brokoli 1 batang daun bawang, potong 1 cm 1 batang seledri, potong 1 cm 1 ruas jari jahe, geprek 1 siung bawang putih uk besar sy pake 3 krna kecil 1 sachet bumbu sop selero padang secukupnya garam, gula dan penyedap rasa ayam 1 liter air kurang lebih",0.4247
Sambel goreng udang plus terong 😊😊,1/4 kg udang buang kulit sisakan ekornya--10 buah terong kecil potong dan belah jadi 4 bagian--Bumbu halus:--3 buah bawang merah--2 siung bawang putih--5 buah cabe keriting--Gula--Garam--Merica bubuk--5 sdm Minyak goreng--,"1) Cuci bersih semua bahan lalu tiriskan
2) Ulek semua bahan bumbu halus
3) Panaskan minyak goreng tumis bumbu halus sampai wangi masukkan terong dan udang secara bersamaan aduk rata (tidak perlu ditambahkan air)
4) Masukkan gula,garam dan merica aduk lagi sampai bumbu merata dan sayur sudah mulai layu
5) Tes rasa kalau sudah pas matikan api dan sajikan.",12,https://cookpad.com/id/resep/3952068-sambel-goreng-udang-plus-terong-%F0%9F%98%8A%F0%9F%98%8A,udang,sambel goreng udang plus terong,10,"udang buang kulit sisakan ekornya , terong potong belah , bumbu halus , bawang merah , bawang putih , cabe keriting , gula , garam , merica bubuk , minyak goreng",5,sambel goreng udang plus terong,1 4 kg udang buang kulit sisakan ekornya 10 buah terong kecil potong dan belah jadi 4 bagian bumbu halus 3 buah bawang merah 2 siung bawang putih 5 buah cabe keriting gula garam merica bubuk 5 sdm minyak goreng,0.2991
Tofu jamur udang,1 buah tofu--5 ekor udang--1 buah jagung pipil--1 bks jamur--2 batang sawi--10 buah buncis--4 siung bawang putih cincang--1/2 buah bombay iris--1 sdm saus tiram--1/2 sdt minyak wijen--2 sdm tepung maizena--Garam--Lada--,"1) Siap kan semua bahan, potong dan cuci bersih. Untuk jamur rendam di air panas lalu tiris kan.
2) Potong2 tofu, balur dengan tepung maizena lalu goreng hingga kuning keemasan.
3) Tumis bawang putih dan Bombay hingga harum, masukan. Udang aduk hingga berubah warna, masukan. Jagung aduk2. Lalu masukan buncis aduk hingga buncis layu lalu tambahkan air se cukup nya.
4) Masukan minyak, wijen, lada, saos tiram dan garam. Koreksi rasa, masak hingga mendidih lalu masukan jamur aduk. Dan tambah kan larutan tepung maizena aduk rata.
5) Masukan sawi aduk dan masukan tofu aduk, angkat dan sajikan.
6) Note : sawi dan yogi masukan terakhir biar ga kematangan dan tofu nya ga hancur.",12,https://cookpad.com/id/resep/3869311-tofu-jamur-udang,udang,tofu jamur udang,13,"tofu , udang , jagung pipil , jamur , batang sawi , buncis , bawang putih cincang , bombai , saus tiram , minyak wijen , tepung maizena , garam , lada",6,tofu jamur udang,1 buah tofu 5 ekor udang 1 buah jagung pipil 1 bks jamur 2 batang sawi 10 buah buncis 4 siung bawang putih cincang 1 2 buah bombay iris 1 sdm saus tiram 1 2 sdt minyak wijen 2 sdm tepung maizena garam lada,0.3468
Tumis brokoli jamur udang with sauri saus tiram,1/4 udang basah--1 buah brokoli--1 ons jamur putih--2 siung bawang putih--2 siung bawang merah--2 buah cabai besar--1 scht sauri saus tiram--Secukupnya air--1 sdm blueband + garem--secukupnya minyak  buat numis--,"1) Cuci udang lalu potong jadi 2 bagian.. rebus brokoli sebentar biar tdk keras
2) Geprek bawang putih dan iris bawang merah dan cabe merah lalu tumis..tnggu hngga harum
3) Lalu masukan udang dan cabe merah nya.tnggu udang hngga kemerahan..
4) Masukan brokoli yg sudah drebus lalu tnggu bbrpa menit masukan jamur lalu aduk2.ksih air sdikit
5) Masukan saori saus tiram + garam+ blueband..aduk2 sbntr angkat dan sajikan",12,https://cookpad.com/id/resep/3871973-tumis-brokoli-jamur-udang-with-sauri-saus-tiram,udang,tumis brokoli jamur udang with sauri saus tiram,10,"udang basah , brokoli , jamur putih , bawang putih , bawang merah , cabai , scht sauri saus tiram , air , blueband + garem , minyak numis",5,tumis brokoli jamur udang with sauri saus tiram,1 4 udang basah 1 buah brokoli 1 ons jamur putih 2 siung bawang putih 2 siung bawang merah 2 buah cabai besar 1 scht sauri saus tiram secukupnya air 1 sdm blueband garem secukupnya minyak buat numis,0.307
Sate kambing goreng bakar pedas+bumbu kecap,1/2 kg daging kambing--3 siung bawang putih--5 psc cabe rawit--1 sdm ketumbar bubuk--1 bungkus royco--2 lbr daun jeruk--secukupnya Garam--1 bungkus kecap (kecap abc yg 500)--1 sdm blue band--Bumbu kecap:--3 bungkus kecap (kecap abc yg 500)--2 psc bawang merah--5 psc cabe rawit--,"1) Potong kecil2 daging, cuci tiriskan
2) Bawang putih, cabe rawit, ketumbar, garam diuelk, daun jeruk diiris tipis
3) Campurkan bumbu ke daging kambing, kecap, irisan daun jeruk aduk2 smp rata tunggu kurleb 15menit
4) Panaskan teplon kasih blue band 1sdm lalu masak daging kambing aduk bolak balik supaya matangnya merata. Masak smp bumbu didaging agak kering.
5) Kira2 dah matang, angkat sajikan",12,https://cookpad.com/id/resep/3275530-sate-kambing-goreng-bakar-pedasbumbu-kecap,kambing,sate kambing goreng bakar pedas+bumbu kecap,13,"daging kambing , bawang putih , psc cabe rawit , biji ketumbar , royco , daun jeruk , garam , kecap kecap abc , blue band , bumbu kecap , kecap kecap abc , psc bawang merah , psc cabe rawit",5,sate kambing goreng bakar pedas bumbu kecap,1 2 kg daging kambing 3 siung bawang putih 5 psc cabe rawit 1 sdm ketumbar bubuk 1 bungkus royco 2 lbr daun jeruk secukupnya garam 1 bungkus kecap kecap abc yg 500 1 sdm blue band bumbu kecap 3 bungkus kecap kecap abc yg 500 2 psc bawang merah 5 psc cabe rawit,0.2904
